id, title, author, price, description, last_update, category, score, downloads, content_rating, requirement, links, developer_url, developer_domain, link
air.com.Frosby.Qixel,Qixel : Pixel Art Painter,Frosby Studios,$1.49 Buy,Welcome to Qixel: a simple stylised pixel painting app. Draw pictures with 4 different 'qixel' types: Squares Circles Diamonds and Triangles. What can you make with 651 pixels? Qixel is all about creating minimalist images retro characters and typography with a limited number of pixels and color palette. Make art or just use it to chill out - it's the digital equivalent of popping bubblewrap! When you've made a real pixel masterpiece post it on the Facebook Qixel Gallery! (facebook.com/qixelgallery) Here's what you can do with Qixel: - Draw pictures with 4 different pixel types: Squares Circles Diamonds and Triangles. - The canvas background button flips between black or white. This has a very different effect on your qixels. - Use the darken and lighten buttons to add shade and depth to your art. - The triangle setting has an extra button: Rotation. Try rotating your triangles 90 degrees to make strange patterns and origami-style art. - Use Qixel to make quirky typography. - Write simple messages and greeting cards to send to friends. - Make cool patterns and abstract backgrounds for websites. - Quickly sketch out pixel characters for Minecraft. - Create retro game graphics and then export frames in stages to make animation. - experiment with color: great for artists and color therapy teachers. See some examples here: facebook.com/qixelgallery SAVING IMAGES: (currently 2 methods) A) The Photo button saves a compressed JPG screenshot to your device's camera roll. B) To save a high-resolution image to your device: hold down the HOME button and POWER BUTTON (or volume down button) AT THE SAME TIME. Note from the developer: If this app proves to be useful and popular I will update it. If you have ideas for functionality - please leave feedback on the Google Play Store and a high rating to help me to carry on with the project! Enjoy your qixels :),July 9 2014,Media & Video Creativity,5.0 2 total,50 - 100,Everyone,2.2 and up,https://www.google.com/url?q=http://www.frosby.net&sa=D&usg=AFQjCNFzqiAQd5P5MOzprnhybeQSwWCk6Q * mailto:apps@frosby.net * https://www.google.com/url?q=http://frosby.net/QixelTerms&sa=D&usg=AFQjCNHZ0lp2gEwFY1ajTsni74VKehZcPA,http://www.frosby.net&sa=D&usg=AFQjCNFzqiAQd5P5MOzprnhybeQSwWCk6Q,http://www.frosby.net,https://play.google.com/store/apps/details?id=air.com.Frosby.Qixel&hl=en
tr.com.mnk.nurettin.darbukadoumbek,Darbuka Doumbek,GameNICA,Free,THIS GAME IS FUNNY! This game is perfect to passing good hours for celebrate the new year like an oriental people. Your android device will be like oriental countries. Darbuka or Doumbek is an oriental rhythm instrumant. This application is a darbuka-doumbek simulator. You will enjoy while playing this exotic instrument. THIS GAME IS EDUCATIVE! Your toddlers will love his application! This application will improve rhythm sense your babies and toddlers. This game may be too advanced for infants under 6 months old. Download Now and enjoy it... CAUTION! Playing the application too much amount of time or leaving the children alone with the mobile phone or tablet pc is not encouraged. Please feel free to notify us! Thank You...,August 15 2014,Music Music & Video,3.6 166 total,10000 - 50000,Everyone,2.3 and up,https://www.google.com/url?q=http://www.gamenica.com&sa=D&usg=AFQjCNGpTF0BizyD0V2aZOzx7dsGEJDNUg * mailto:gezigezblog@gmail.com * https://www.google.com/url?q=http://www.gamenica.com/?page_id%3D2&sa=D&usg=AFQjCNHG2o_sfhlGo75rTpa_SiOxGZ6CAA,http://www.gamenica.com&sa=D&usg=AFQjCNGpTF0BizyD0V2aZOzx7dsGEJDNUg,http://www.gamenica.com,https://play.google.com/store/apps/details?id=tr.com.mnk.nurettin.darbukadoumbek&hl=en
com.mayimbe.crossymemo.app,Crossy MeMo,Mayimbe Network,Free,Collect coins tap to change direction do not let the sharks eat you or its game over Crossy Memo is a fun addicting game for all ages come try it.,July 17 2015,Strategy Action & Adventure,3.8 11 total,1000 - 5000,Everyone,2.3.3 and up,https://www.google.com/url?q=http://MayimbeNetwork.com&sa=D&usg=AFQjCNHgyKxTRk1pOQnWnU2cXiUu0lzqWQ * mailto:MayimbeNetwork@gmail.com * https://www.google.com/url?q=http://www.mayimbenetwork.com/privacy.php&sa=D&usg=AFQjCNH-9QhQLv5ind09vHoTJR23Zt9hzw,,,https://play.google.com/store/apps/details?id=com.mayimbe.crossymemo.app&hl=en
com.list.circle,서클.두,LiST Inc.,Free,아이들의 일상은 재미있게 엄마에겐 미소를 ;-) 서클.두는 가족간의 미션과 보상을 통해 아이들의 하루일과 학습 습관등의 관리를 도와줍니다. 또한 가족간의 대화를 보다 풍성하게 해줍니다. - 맞벌이 부모는 아이들이 하루를 어떻게 보내고 있는지 늘 궁금해합니다. - 부모들은 아이들의 생활습관 학업 일상과 관련하여 아이들의 나이에 맞는 단계별 성취를 격려하고 도와주고 싶어합니다. - 아이들과의 대화시간은 충분하지 않으며 그 주제 역시 한정되어 있습니다. 서클.두는 이러한 문제를 가지고 있는 가족들을 위한 서비스입니다. 미션의 생성 수행 완료 그리고 보상을 통해 아이들의 생활습관 학습 그리고 하루 일과를 관리할 수 있습니다. 가족 구성원이 언제나 함께 대화를 나누고 하루를 공유할 수 있습니다. 하루의 멋진 순간이나 특별한 이야기를 가족과 함께 나눌 수 있습니다. 지금 바로 이 순간의 느낌을 아이에게 전달해 보세요. :-) hello@circle.do 로 피드백을 보내주세요. 자세한 사항은 http://circle.do/ 에서 확인해보세요.,August 9 2015,Lifestyle Education,3.5 2 total,10 - 50,Everyone,2.3.3 and up,https://www.google.com/url?q=http://circle.do/&sa=D&usg=AFQjCNEIi_nXsuSwR-pxadqzMd0W4x3p6Q * mailto:hello@circle.do * https://www.google.com/url?q=http://circle.do/rules/privacy.html&sa=D&usg=AFQjCNEoihawyzC8dNyfcxCW56gktqTqRg,http://circle.do/&sa=D&usg=AFQjCNEIi_nXsuSwR-pxadqzMd0W4x3p6Q,http://circle.do,https://play.google.com/store/apps/details?id=com.list.circle&hl=en
com.counterpoint.kinlocate,dondeEsta Family Locator,dondeEsta,Free,dondeEsta Family Locator Because your family is the most important thing to you we help you to know where they are. dondeEsta Family Locator lets you locate your kids in real time and receive notifications when they arrive or leave school or home. Now you can also know where your car is. One app that connects everything that matters the most to you! dondeEsta Family Locator FEATURES: • Track your kids at any time and in real time by just a simple tap on the screen! • “At home” and “at school” real time indicator: with just a quick glance at the phone screen you will know whether your kids are at home or at school • Receive notifications when your kids arrive or leave school/home • Receive immediate alerts when your kids are not at school during school hours • Receive alerts if your kids didn’t get home when you agreed to • Receive alerts if your kids need help or if they are in danger • Get notifications when your kids need a ride back home • Option for "navigate to" your kid's location • Track and get healthy information in real time about your car • Track your phone when you lose it dondeEsta Family Locator brings peace of mind to families all over the world and helps them connect with their family members. dondeEsta Family Locator is a powerful and accurate family locator available that lets you protect your kids and have peace of mind. dondeEsta Family Locator FREE: • Locate your family at any time and in real time by just a simple tap on the screen! • dondeEsta Family Locator lets you see your family members’ location on a private map • dondeEsta Family Locator gives your kids tools to easily reach you when they need it the most: Panic feature which send you an instantly notification! • Your kids have tools for easily send you a free notification when they are OK or if they need a ride back home • Track your phone when you lose it dondeEsta Family Locator PREMIUM: • Receive different kind of notifications such as alerts if your kids are not at school during school hours! • dondeEsta Family Locator lets you set up curfews! • Receive notifications when your kids arrive or leave home/school • Set up your kids’ school schedule • dondeEsta Family Locator has an “At home” and “at school” real time indicator dondeEsta Family Locator - Kid Tracker is an incredible app for family safety. dondeEsta Family Locator– Kid Tracker brings peace of mind because lets you track your kids phone and connect with them at any time. It has the best GPS tracking technology and it is always free to use! Can we help you? Contact us at info@dondeesta.com and we will get back to you in 24h (English & Spanish support),July 20 2015,Lifestyle Education,4.3 8464 total,100000 - 500000,Everyone,2.3 and up,https://www.google.com/url?q=http://www.dondeesta.com&sa=D&usg=AFQjCNHrPwMpqdsxy0R-WzRXgvwYvGH9rg * mailto:info@dondeesta.com * https://www.google.com/url?q=http://www.dondeesta.com/eula.aspx&sa=D&usg=AFQjCNFXLn1vZVEA_zPpLgMC85MgYWCX3g,http://www.dondeesta.com&sa=D&usg=AFQjCNHrPwMpqdsxy0R-WzRXgvwYvGH9rg,http://www.dondeesta.com,https://play.google.com/store/apps/details?id=com.counterpoint.kinlocate&hl=en
com.choremonster.cmandroid,ChoreMonster,ChoreMonster Inc.,Free,ChoreMonster makes chores fun by engaging and rewarding your kids! Kids earn points by completing chores to use towards rewards like an hour of video games or a camping trip. Parents get an easy-to-use tool that takes the tension out of household chores. Kids also earn tickets to the Monster Carnival for each chore completed where they can win and collect our monsters. With ChoreMonster your kids will beg to do their chores! Don't just take our word for it though. Here’s what ChoreMonster users are saying: ✭✭✭✭✭ “Set the kids up on ChoreMonster. So far it's a hit in the household with K wanting to complete a week's worth of chores by 8:00 am.” ✭✭✭✭✭ “Incredible things happening since I installed ChoreMonster app. My boys can't wait to help around the house!” ✭✭✭✭✭ “Day one of using ChoreMonster and the kids were pumped...woke up early to log on and asked for more chores when I tucked them in.” Plus we've been featured in trusted media outlets like Mashable The New York Times The Wall Street Journal CNBC TechCrunch and more. ChoreMonster is best for ages 4 through 12 but works with ages 3 through 15. See you soon!,October 26 2015,Lifestyle Education,3.6 2217 total,100000 - 500000,Everyone,4.0.3 and up,https://www.google.com/url?q=https://www.choremonster.com/&sa=D&usg=AFQjCNER1iAItwRvLMTYq9dKnVQNUmm09Q * mailto:android@choremonster.com * https://www.google.com/url?q=https://www.choremonster.com/privacy&sa=D&usg=AFQjCNF9-xKFpP6xa0TBsrldYNhKF3bqpg,https://www.choremonster.com/&sa=D&usg=AFQjCNER1iAItwRvLMTYq9dKnVQNUmm09Q,https://www.choremonster.com,https://play.google.com/store/apps/details?id=com.choremonster.cmandroid&hl=en
com.kidzcamera,Kidz Camera,6th Element Creations,$0.99 Buy,Simple clean and easy to use camera app for kids. Ad free and no in-app purchases. Kidz Camera is a camera app entirely separate from the phone’s main camera and gallery designed specifically for kids. This kid’s camera app has several features that kids will never know are there and parents can't live without. Stop spending time worrying about your child filling up your phone’s storage with an endless number of fuzzy pictures and pictures of feet. Kidz Camera app contains the following features: Separate Storage: All pictures taken within the camera app stay in the app thus not filling up your main camera gallery. Storage Limit: Set a limit to the number of photos and videos anywhere between 1-50 a child can take within the app. When photos are taken above the limit the oldest photo simply deletes out of the app gallery making room for the new photo. Parent Pin: The parent pin prevents unwanted changes to the settings and allows for the rare good photo to be saved to the device’s main gallery. The parent pin is created the first time the app is opened. After changes are made in the settings the user will be prompted to enter the parent pin before the changes are saved. If the parent pin is entered incorrectly three times the app will simply return to the app camera. Love a Photo: You can export any photos you want to keep from the kid’s camera app gallery to your main gallery by clicking the download icon and simply entering the parent pin. Parent Pin Reset: Don’t know or remember your parent pin? No worries just do a simple math problem. Video Time Limit: Set a maximum number of seconds a video can be up to 60 seconds per video thus allowing videos not to take up all of your storage. Draw on photos: Kids can paint/draw on any photo they want as long as the photo was taken in Kidz Camera app. Optional Delete Entire App Gallery: After a set amount of time (0 to 12 hours) the entire app gallery can automatically be deleted further freeing up your storage. This feature can be turned on or off easily in the settings of the kid’s camera.,July 30 2015,Media & Video Creativity,5.0 7 total,10 - 50,Everyone,3.0 and up,https://www.google.com/url?q=http://kidscameraapp.com&sa=D&usg=AFQjCNFSq_yrvQxUafPZn0SSu1MDbBdLdw * mailto:Kidzcamera@gmail.com * https://www.google.com/url?q=https://docs.google.com/document/d/10GqeQ67eE0p-vh9HlK9fJtbF3O_ld9rxsOy588MSBxk/edit?usp%3Dsharing&sa=D&usg=AFQjCNH2eaZ_mAckwcjG4f-bOLjmqPGfXw,http://kidscameraapp.com&sa=D&usg=AFQjCNFSq_yrvQxUafPZn0SSu1MDbBdLdw,http://kidscameraapp.com,https://play.google.com/store/apps/details?id=com.kidzcamera&hl=en
com.mattel.MCSMMC,Stop-Motion Movie Creator,Mattel,Free,Direct Record and Edit Your Own Minecraft Stop-Motion Movies! The Minecraft Stop-Motion Movie Creator app makes it easy to produce your own stop-motion movies starring your favorite Minecraft Mini-Figures. In just a few simple steps you’ll be bringing Steve Creepers and other Minecraft characters to life! Once you’ve built your set and your cast is in place the Minecraft Stop-Motion Movie Creator will transform your iPhone iPad or iPod touch into an animation studio giving you the power to record whatever you can imagine one magical frame at a time. And the fun doesn’t stop there. The app includes editing tools visual filters original music tracks and sound effects from the game to help you craft the most epic movie ever! When you’re done save your movie to your library to watch later and start creating your next movie masterpiece right away! “Block-Buster” Features • Record edit and save stop-motion movies frame by frame • Customize your movie with original music tracks and sound effects from the world of Minecraft • Use filmmaking tools like onion skinning and on-screen movement guides to make the best movie you can • Enhance your movie with visual filters and add customized credits at the end • Create an original movie poster specifically for your movie • Check out the demo video recorded by the Mojang team and let it inspire your own stop-motion movie creation Compatible Devices: Android 4.2.2 (Jelly Bean) and above Device must have a rear-facing camera We reserve the right to terminate the Minecraft Stop-Motion Movie Creator app after June 1 2017. For further questions about the Minecraft Stop-Motion Movie Creator app please contact customer support at www.service.mattel.com,May 29 2015,Media & Video Creativity,3.5 8267 total,100000 - 500000,Everyone,4.2 and up,https://www.google.com/url?q=http://www.mattel.com&sa=D&usg=AFQjCNHtgoMB8PkC1oFr35Lp1ASkM5aarQ * mailto:mattel.studios@gmail.com * https://www.google.com/url?q=http://corporate.mattel.com/privacy-statement.aspx&sa=D&usg=AFQjCNHx3CKH4e4CvAI-2naKnnZH_gyBtQ,http://www.mattel.com&sa=D&usg=AFQjCNHtgoMB8PkC1oFr35Lp1ASkM5aarQ,http://www.mattel.com,https://play.google.com/store/apps/details?id=com.mattel.MCSMMC&hl=en
zone.doo.app,DooApp Kids Chores and Rewards,Jacob Kemsley,Free,A tool for parents to reward children for achievements good behaviour and completing chores. Children earn points which they can redeem for fun activities. Recognise your kids efforts motivate and provide them with incentives. Key Features: * Quick and easy to setup * Points balance and transaction history * Award points for being good * Redeem points for fun activities * Simplified child interface * Child can tick off tasks and claim rewards parent sent notification to approve or decline * Online support provided * Free no in-app purchases no ads no hidden costs * Secure and private Benefits: * Provides incentives * Motivates your children * Makes children more active * Recognise good effort * Children learn to save * Encourages children to complete chores * Creates a dialogue between parents and children * Teaches children to be responsible * Boosts confidence * Helps unorganised kids become organised Setup: 1. Parent downloads the app and creates a free account 2. Parent adds children 3. Create awards - involve children in creating awards 4. Create rewards - involve children in creating rewards 5. If child login is enabled and the child has their own mobile device they can download and install the app,April 26 2015,Lifestyle Education,3.0 20 total,1000 - 5000,Everyone,2.3.3 and up,https://www.google.com/url?q=http://www.doo.zone&sa=D&usg=AFQjCNHfz0y8vLIB6A3cPGRR6UtxQCYpOQ * mailto:hello@doo.zone * https://www.google.com/url?q=http://www.doo.zone/privacy/&sa=D&usg=AFQjCNHeyTP0IO_x5tT2vw7TKDsNKpr-tg,http://www.doo.zone&sa=D&usg=AFQjCNHfz0y8vLIB6A3cPGRR6UtxQCYpOQ,http://www.doo.zone,https://play.google.com/store/apps/details?id=zone.doo.app&hl=en
de.tursics.nameyourbabe,Name your babe,Thomas Tursics,Free,The encyclopedia of names for parents-to-be to find a name for their baby It has never been so easy to find the perfect fitting given name for your babe! The app shows you a given name popular in your region. You don't like it? Simply shake your smartphone and you will get a new name. THERE IS NO EASIER WAY! All features at a glance: - New random given name by shaking your smartphone - Mark and remember favorite names - Selection from 5000+ names - Popular given names in your region from the last 10 years - For free and without advertisements The most popular given names for girls and boys in: - Austria (Engerwitzdorf Graz Linz Lower Austria City of Salzburg State of Salzburg Styria Tyrol Upper Austria Vienna Vorarlberg) - Germany (Berlin Bonn Bremen Chemnitz Cologne Essen Hamburg Moers Munich Münster Nuremberg Paderborn and Ulm) - Switzerland (Zurich) - More regions to come I'd love to enhance "Name your babe". Therefore your ideas and feedback are very welcome! And if you would like to have the app also translated into your language I appreciate your assistance! Here's what critics say about "Name your babe": "For those still undecided there is also the funny function to find a name for your young via a random generator. [...] Since there are many names in the data base there will be something for everyone." - Kronen Zeitung "Among others the mobile app 'Name your babe' stands a chance to get the special award of the community Engerwitzdorf." - Wiener Zeitung Awards for "Name your babe" up till now: - Winner of the CeBIT myApp Factory 2013 - Finalist at the apps4austria Award 2013 Do you like "Name your babe"? - Become a fan on Facebook: https://www.facebook.com/nameyourbabe - Visit my website: http://tursics.de - Rate "Name your babe",April 1 2015,Lifestyle Education,3.4 18 total,1000 - 5000,Everyone,4.0.3 and up,https://www.google.com/url?q=http://www.tursics.de/nameyourbabe/&sa=D&usg=AFQjCNG-H3y0T2dAQcOgCW2lo3HEsq1Erg * mailto:support@tursics.de * https://www.google.com/url?q=http://www.tursics.de/privacy/%23appLight&sa=D&usg=AFQjCNE-bFQPPLy3OZ31gYZEbhucfYmlqw,http://www.tursics.de/nameyourbabe/&sa=D&usg=AFQjCNG-H3y0T2dAQcOgCW2lo3HEsq1Erg,http://www.tursics.de,https://play.google.com/store/apps/details?id=de.tursics.nameyourbabe&hl=en
